word	log10(p)	rank
维奇	   -3.8283	583
拔高	   -3.8285	584
广场	   -3.8288	585
全部	   -3.8290	586
宣布	   -3.8293	587
青岛	   -3.8299	588
公主	   -3.8302	589
中山	   -3.8333	590
纽约	   -3.8333	591
唱片	   -3.8338	592
只有	   -3.8338	593
拉克	   -3.8345	594
国铁	   -3.8349	595
成功	   -3.8353	596
巴黎	   -3.8361	597
天主	   -3.8362	598
东方	   -3.8365	599
奥斯	   -3.8376	600
乌拉	   -3.8385	601
兄弟	   -3.8387	602
居民	   -3.8388	603
反应	   -3.8407	604
族自	   -3.8408	605
不能	   -3.8414	606
唐朝	   -3.8416	607
尼斯	   -3.8424	608
政协	   -3.8425	609
物小	   -3.8450	610
决赛	   -3.8466	611
特拉	   -3.8467	612
格兰	   -3.8489	613
大道	   -3.8490	614
发布	   -3.8495	615
名单	   -3.8495	616
巴士	   -3.8499	617
里克	   -3.8507	618
第六	   -3.8512	619
特色	   -3.8519	620
法律	   -3.8520	621
发行	   -3.8530	622
方法	   -3.8537	623
校友	   -3.8545	624
东南	   -3.8551	625
实验	   -3.8572	626
决定	   -3.8572	627
形成	   -3.8579	628
现代	   -3.8587	629
类型	   -3.8588	630
参与	   -3.8591	631
已移	   -3.8593	632
塞尔	   -3.8604	633
增加	   -3.8612	634
皇帝	   -3.8614	635
授权	   -3.8618	636
理员	   -3.8622	637
新华	   -3.8622	638
媒体	   -3.8634	639
司令	   -3.8636	640
附近	   -3.8637	641
斯卡	   -3.8648	642
陕西	   -3.8653	643
四年	   -3.8657	644
卡尔	   -3.8668	645
教堂	   -3.8684	646
副本	   -3.8689	647
电话	   -3.8724	648
主演	   -3.8728	649
小说	   -3.8729	650
克拉	   -3.8729	651
国乡	   -3.8735	652
北美	   -3.8735	653
代码	   -3.8737	654
布拉	   -3.8741	655
锦标	   -3.8744	656
道路	   -3.8750	657
哈尔	   -3.8753	658
乡镇	   -3.8761	659
他在	   -3.8769	660
标赛	   -3.8770	661
或者	   -3.8775	662
基本	   -3.8779	663
道交	   -3.8782	664
斯塔	   -3.8784	665
将军	   -3.8786	666
在地	   -3.8799	667
这种	   -3.8802	668
市长	   -3.8807	669
工具	   -3.8807	670
环境	   -3.8817	671
部队	   -3.8822	672
王朝	   -3.8835	673
封禁	   -3.8845	674
统计	   -3.8852	675
地震	   -3.8854	676
战役	   -3.8866	677
直到	   -3.8869	678
北海	   -3.8873	679
马克	   -3.8874	680
通常	   -3.8875	681
档副	   -3.8876	682
詹姆	   -3.8882	683
家庭	   -3.8883	684
比亚	   -3.8885	685
格拉	   -3.8887	686
彼得	   -3.8891	687
反对	   -3.8891	688
州份	   -3.8892	689
地下	   -3.8894	690
站名	   -3.8896	691
日在	   -3.8901	692
方式	   -3.8904	693
频道	   -3.8906	694
检查	   -3.8908	695
洲中	   -3.8909	696
少女	   -3.8917	697
十七	   -3.8919	698
际机	   -3.8922	699
来自	   -3.8923	700
莱蒙	   -3.8924	701
专题	   -3.8935	702
都是	   -3.8936	703
普通	   -3.8939	704
具有	   -3.8943	705
接受	   -3.8946	706
区域	   -3.8948	707
埃尔	   -3.8949	708
改为	   -3.8949	709
举行	   -3.8956	710
马山	   -3.8960	711
超过	   -3.8970	712
十年	   -3.8971	713
非常	   -3.8973	714
共有	   -3.8974	715
任何	   -3.8974	716
文字	   -3.8985	717
加利	   -3.8992	718
结果	   -3.8992	719
帕洛	   -3.8994	720
翻译	   -3.8998	721
议会	   -3.9003	722
功能	   -3.9004	723
是由	   -3.9004	724
医学	   -3.9006	725
伯特	   -3.9006	726
澳大	   -3.9007	727
受到	   -3.9009	728
传统	   -3.9019	729
尔特	   -3.9022	730
状态	   -3.9022	731
软件	   -3.9024	732
物种	   -3.9026	733
特里	   -3.9032	734
导演	   -3.9034	735
追踪	   -3.9037	736
篮球	   -3.9038	737
许多	   -3.9040	738
据库	   -3.9044	739
名字	   -3.9049	740
萄牙	   -3.9053	741
巡天	   -3.9061	742
洛马	   -3.9067	743
展阅	   -3.9069	744
博士	   -3.9071	745
特别	   -3.9073	746
图书	   -3.9074	747
学习	   -3.9076	748
利用	   -3.9077	749
拥有	   -3.9092	750
重点	   -3.9109	751
卡斯	   -3.9110	752
瓦尔	   -3.9114	753
五年	   -3.9116	754
专业	   -3.9121	755
负责	   -3.9122	756
这是	   -3.9124	757
背景	   -3.9132	758
山村	   -3.9136	759
蒙山	   -3.9139	760
非洲	   -3.9142	761
希望	   -3.9150	762
英语	   -3.9153	763
造成	   -3.9162	764
西藏	   -3.9167	765
路车	   -3.9172	766
十九	   -3.9178	767
汽车	   -3.9179	768
直接	   -3.9180	769
年时	   -3.9181	770
斯托	   -3.9184	771
人类	   -3.9188	772
选举	   -3.9191	773
小时	   -3.9196	774
吉林	   -3.9201	775
侵权	   -3.9202	776
学会	   -3.9203	777
理论	   -3.9204	778
总理	   -3.9205	779
等地	   -3.9207	780
先生	   -3.9216	781
破坏	   -3.9219	782
警察	   -3.9222	783
第七	   -3.9223	784
广西	   -3.9223	785
照片	   -3.9230	786
男性	   -3.9240	787
行动	   -3.9248	788
不可	   -3.9248	789
二次	   -3.9259	790
瑞士	   -3.9260	791
常委	   -3.9267	792
佛教	   -3.9270	793
缩略	   -3.9272	794
新浪	   -3.9274	795
空间	   -3.9279	796
设置	   -3.9284	797
略图	   -3.9295	798
赛季	   -3.9296	799
还有	   -3.9300	800
亨利	   -3.9303	801
天系	   -3.9304	802
华民	   -3.9305	803
对于	   -3.9309	804
划小	   -3.9310	805
那巡	   -3.9330	806
辽宁	   -3.9330	807
一起	   -3.9332	808
地球	   -3.9337	809
星追	   -3.9342	810
议员	   -3.9347	811
旅游	   -3.9351	812
境内	   -3.9352	813
都市	   -3.9360	814
毕业	   -3.9365	815
撤销	   -3.9366	816
高雄	   -3.9381	817
编号	   -3.9384	818
四十	   -3.9390	819
宁波	   -3.9393	820
米尔	   -3.9396	821
热带	   -3.9401	822
运营	   -3.9401	823
这样	   -3.9412	824
方千	   -3.9414	825
市政	   -3.9425	826
西安	   -3.9426	827
指挥	   -3.9427	828
病毒	   -3.9429	829
并且	   -3.9442	830
公元	   -3.9444	831
完全	   -3.9444	832
陆军	   -3.9448	833
作用	   -3.9450	834
佛祖	   -3.9451	835
图像	   -3.9456	836
届全	   -3.9456	837
墨西	   -3.9462	838
尼克	   -3.9466	839
分别	   -3.9468	840
口为	   -3.9473	841
莫斯	   -3.9477	842
模式	   -3.9481	843
理事	   -3.9484	844
应用	   -3.9486	845
西来	   -3.9488	846
公布	   -3.9490	847
级联	   -3.9493	848
辖以	   -3.9495	849
程序	   -3.9500	850
萨克	   -3.9500	851
西哥	   -3.9504	852
农业	   -3.9506	853
球员	   -3.9507	854
主编	   -3.9516	855
英雄	   -3.9521	856
合并	   -3.9523	857
前往	   -3.9525	858
祖西	   -3.9531	859
改革	   -3.9532	860
阳市	   -3.9536	861
数学	   -3.9538	862
演唱	   -3.9539	863
规划	   -3.9540	864
客运	   -3.9547	865
一直	   -3.9558	866
空军	   -3.9560	867
官员	   -3.9561	868
尔省	   -3.9566	869
布里	   -3.9567	870
合物	   -3.9577	871
理由	   -3.9592	872
采用	   -3.9597	873
首都	   -3.9602	874
书馆	   -3.9609	875
在这	   -3.9614	876
宣传	   -3.9615	877
全球	   -3.9617	878
雷斯	   -3.9621	879
产生	   -3.9624	880
更新	   -3.9626	881
方网	   -3.9637	882
有关	   -3.9649	883
利斯	   -3.9649	884
而且	   -3.9660	885
除了	   -3.9667	886
市场	   -3.9669	887
飓风	   -3.9675	888
显示	   -3.9680	889
跨氪	   -3.9683	890
月至	   -3.9685	891
曾任	   -3.9690	892
城镇	   -3.9694	893
委书	   -3.9702	894
实际	   -3.9709	895
冬季	   -3.9710	896
商业	   -3.9717	897
省委	   -3.9719	898
允许	   -3.9724	899
比利	   -3.9726	900
奥运	   -3.9727	901
专辑	   -3.9733	902
过程	   -3.9736	903
报道	   -3.9736	904
地利	   -3.9737	905
去世	   -3.9737	906
马尔	   -3.9742	907
成了	   -3.9743	908
包含	   -3.9746	909
火车	   -3.9748	910
说明	   -3.9756	911
太阳	   -3.9760	912
政策	   -3.9762	913
修正	   -3.9763	914
定度	   -3.9764	915
及其	   -3.9767	916
平洋	   -3.9777	917
乔治	   -3.9780	918
督教	   -3.9783	919
其它	   -3.9795	920
制度	   -3.9795	921
世日	   -3.9796	922
原因	   -3.9807	923
公分	   -3.9809	924
德拉	   -3.9813	925
下地	   -3.9814	926
军区	   -3.9816	927
部时	   -3.9816	928
希腊	   -3.9819	929
广播	   -3.9827	930
海道	   -3.9832	931
昆明	   -3.9833	932
卫视	   -3.9834	933
祖父	   -3.9838	934
以指	   -3.9841	935
卡拉	   -3.9845	936
能力	   -3.9847	937
沟村	   -3.9849	938
西洋	   -3.9857	939
知道	   -3.9859	940
应该	   -3.9867	941
股份	   -3.9874	942
奥地	   -3.9879	943
动到	   -3.9884	944
氧化	   -3.9885	945
六年	   -3.9886	946
家村	   -3.9886	947
罗县	   -3.9886	948
牙利	   -3.9887	949
当地	   -3.9888	950
匈牙	   -3.9890	951
每平	   -3.9897	952
分子	   -3.9906	953
基础	   -3.9910	954
记录	   -3.9915	955
基地	   -3.9916	956
瑞典	   -3.9920	957
置放	   -3.9923	958
西部	   -3.9935	959
设立	   -3.9937	960
川省	   -3.9944	961
天体	   -3.9961	962
河流	   -3.9964	963
还是	   -3.9967	964
斯克	   -3.9976	965
龙江	   -3.9980	966
政单	   -3.9981	967
森林	   -3.9986	968
航天	   -4.0009	969
里亚	   -4.0010	970
形式	   -4.0011	971
区号	   -4.0012	972
易斯	   -4.0018	973
优良	   -4.0020	974
日起	   -4.0021	975
苏省	   -4.0022	976
超级	   -4.0025	977
资源	   -4.0056	978
师范	   -4.0057	979
公斤	   -4.0058	980
威尔	   -4.0062	981
配偶	   -4.0063	982
家庄	   -4.0066	983
山市	   -4.0069	984
一至	   -4.0070	985
古代	   -4.0084	986
分钟	   -4.0093	987
虽然	   -4.0101	988
差异	   -4.0108	989
版权	   -4.0109	990
内蒙	   -4.0111	991
军队	   -4.0122	992
沈阳	   -4.0125	993
电力	   -4.0125	994
话区	   -4.0128	995
王子	   -4.0136	996
运输	   -4.0137	997
斯拉	   -4.0141	998
介绍	   -4.0144	999
方米	   -4.0151	1000
