word	log10(p)	rank	dependance	use fraction	other use fraction
山市	   -4.0069	984	    7.5890	    0.0178	    0.0254
市委	   -4.0258	1027	   16.2845	    0.0171	    0.0544
津市	   -4.0290	1036	   51.3834	    0.0169	    0.1717
北市	   -4.1227	1285	    6.1708	    0.0137	    0.0206
雄市	   -4.1471	1370	   45.5452	    0.0129	    0.1522
安市	   -4.1966	1527	    6.7739	    0.0115	    0.0226
庆市	   -4.2058	1562	   40.5798	    0.0113	    0.1356

word	log10(p)	rank	dependance	use fraction	other use fraction
文	   -2.3683
文献	   -3.0276	29	  207.7686	    0.1705	    0.6923
考文	   -3.0459	33	  126.1017	    0.1635	    0.4202
文化	   -3.2543	88	   79.9628	    0.1012	    0.2665
文本	   -3.4755	181	   25.4885	    0.0608	    0.0849
文物	   -3.4860	192	   29.1915	    0.0593	    0.0973
中文	   -3.4920	199	    7.7809	    0.0585	    0.0259
似文	   -3.5216	224	  100.9493	    0.0547	    0.3364
英文	   -3.5386	233	   48.8814	    0.0526	    0.1629
文学	   -3.6943	382	    9.8050	    0.0367	    0.0327
文件	   -3.7329	427	   58.8324	    0.0336	    0.1960
文名	   -3.7569	466	   10.5079	    0.0318	    0.0350
文字	   -3.8985	717	   31.7557	    0.0229	    0.1058
日文	   -4.0352	1056	    5.2964	    0.0168	    0.0176
天文	   -4.0890	1192	    8.3308	    0.0148	    0.0278
文章	   -4.1531	1399	   35.9607	    0.0128	    0.1198
外文	   -4.1586	1413	    9.5832	    0.0126	    0.0319
点文	   -4.2078	1571	   19.4456	    0.0113	    0.0648
省文	   -4.2088	1574	    5.9460	    0.0112	    0.0198
文明	   -4.2316	1656	    7.1109	    0.0107	    0.0237
原文	   -4.2381	1685	    8.9033	    0.0105	    0.0297
文版	   -4.2405	1694	   16.4970	    0.0104	    0.0550

word	log10(p)	rank	dependance	use fraction	other use fraction
区	   -2.3684
政区	   -2.9751	19	   76.7612	    0.1924	    0.2557
区划	   -3.0996	52	  190.4862	    0.1445	    0.6346
社区	   -3.1716	63	  116.8158	    0.1224	    0.3892
地区	   -3.1808	64	   36.1610	    0.1198	    0.1205
治区	   -3.6575	350	   32.7765	    0.0400	    0.1092
区域	   -3.8948	707	   69.7168	    0.0232	    0.2323
军区	   -3.9816	927	   11.8545	    0.0190	    0.0395
区号	   -4.0012	972	   19.0476	    0.0181	    0.0635
话区	   -4.0128	995	   57.3711	    0.0176	    0.1911
城区	   -4.0299	1039	   11.5820	    0.0170	    0.0386
山区	   -4.1291	1306	    5.7445	    0.0135	    0.0191
校区	   -4.2225	1622	   14.4921	    0.0109	    0.0483

word	log10(p)	rank	dependance	use fraction	other use fraction
地	   -2.3707
地区	   -3.1808	64	   36.1610	    0.1205	    0.1198
近地	   -3.2617	92	  138.8489	    0.1000	    0.4601
地小	   -3.2691	96	   28.1622	    0.0983	    0.0933
地铁	   -3.3641	125	   74.7222	    0.0790	    0.2476
地理	   -3.5763	265	   28.0541	    0.0485	    0.0930
地名	   -3.5972	283	   15.2621	    0.0462	    0.0506
地方	   -3.6588	352	   22.2429	    0.0401	    0.0737
在地	   -3.8799	667	    6.1328	    0.0241	    0.0203
地震	   -3.8854	676	  167.4816	    0.0238	    0.5550
地下	   -3.8894	690	   13.9014	    0.0236	    0.0461
等地	   -3.9207	780	   20.9492	    0.0219	    0.0694
地球	   -3.9337	809	   14.8204	    0.0213	    0.0491
地利	   -3.9737	905	    9.4289	    0.0194	    0.0312
下地	   -3.9814	926	   11.2467	    0.0191	    0.0373
奥地	   -3.9879	943	   21.5966	    0.0188	    0.0716
当地	   -3.9888	950	   28.0980	    0.0187	    0.0931
基地	   -3.9916	956	   10.5716	    0.0186	    0.0350
州地	   -4.0210	1015	    7.5342	    0.0174	    0.0250
土地	   -4.0837	1174	   40.6856	    0.0151	    0.1348
各地	   -4.1179	1265	   22.0648	    0.0139	    0.0731
京地	   -4.1265	1300	   12.9318	    0.0137	    0.0429
地址	   -4.1507	1390	   56.2245	    0.0129	    0.1863
地图	   -4.1514	1393	   13.6979	    0.0129	    0.0454
地位	   -4.1978	1530	    7.9350	    0.0116	    0.0263
地点	   -4.2190	1612	   19.0544	    0.0110	    0.0631

word	log10(p)	rank	dependance	use fraction	other use fraction
日	   -2.3909
日本	   -2.9036	14	  100.1982	    0.2390	    0.3170
日期	   -3.3501	120	   66.4145	    0.0855	    0.2101
日至	   -3.7340	430	   29.4101	    0.0353	    0.0930
日报	   -3.8115	555	   41.6162	    0.0295	    0.1316
日在	   -3.8901	692	    6.2757	    0.0247	    0.0199
世日	   -3.9796	922	   11.9709	    0.0201	    0.0379
日起	   -4.0021	975	   29.1088	    0.0190	    0.0921
日文	   -4.0352	1056	    5.2964	    0.0176	    0.0168
每日	   -4.1038	1227	   39.4214	    0.0151	    0.1247
抗日	   -4.1456	1363	   80.7883	    0.0137	    0.2556
今日	   -4.2338	1662	   27.8237	    0.0112	    0.0880
次日	   -4.2803	1849	   10.8196	    0.0100	    0.0342

word	log10(p)	rank	dependance	use fraction	other use fraction
西	   -2.3959
西班	   -3.4037	143	  161.6330	    0.0764	    0.5054
西亚	   -3.4723	180	   36.5551	    0.0653	    0.1143
巴西	   -3.6841	369	   29.2615	    0.0401	    0.0915
西省	   -3.7013	394	   20.3897	    0.0385	    0.0638
